starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 17 12:06:49 2017	1502989609	17	264	281	264
Thu Aug 17 12:06:49 2017	1502989609	17	264	281	264
Thu Aug 17 12:06:49 2017	1502989609	17	264	281	264
Thu Aug 17 12:06:54 2017	1502989614	121	160	281	140
Thu Aug 17 12:06:53 2017	1502989613	33	248	281	236
Thu Aug 17 12:06:54 2017	1502989614	122	160	282	128
Thu Aug 17 12:06:54 2017	1502989614	112	170	282	144
Thu Aug 17 12:06:54 2017	1502989614	112	170	282	144
Thu Aug 17 12:06:55 2017	1502989615	53	229	282	185
Thu Aug 17 12:06:49 2017	1502989609	20	264	284	263
Thu Aug 17 12:07:05 2017	1502989625	97	188	285	187
Thu Aug 17 12:06:55 2017	1502989615	49	236	285	230
Thu Aug 17 12:06:55 2017	1502989615	61	225	286	219
Thu Aug 17 12:06:55 2017	1502989615	61	225	286	215
Thu Aug 17 12:06:55 2017	1502989615	49	236	286	230
Thu Aug 17 12:06:55 2017	1502989615	86	200	286	165
Thu Aug 17 12:06:49 2017	1502989609	24	264	288	264
Thu Aug 17 12:06:59 2017	1502989619	45	243	288	243
Thu Aug 17 12:06:55 2017	1502989615	16	272	289	236
Thu Aug 17 12:06:55 2017	1502989615	16	272	289	232
Thu Aug 17 12:06:54 2017	1502989614	21	268	289	158
Thu Aug 17 12:07:02 2017	1502989622	25	265	290	224
Thu Aug 17 12:07:02 2017	1502989622	25	265	290	224
Thu Aug 17 12:07:02 2017	1502989622	25	265	290	224
Thu Aug 17 12:06:53 2017	1502989613	19	273	292	272
Thu Aug 17 12:06:55 2017	1502989615	56	236	292	230
Thu Aug 17 12:06:55 2017	1502989615	167	125	292	124
Thu Aug 17 12:06:53 2017	1502989613	20	272	292	258
Thu Aug 17 12:06:53 2017	1502989613	20	272	292	261
Thu Aug 17 12:06:53 2017	1502989613	20	273	293	272
Thu Aug 17 12:06:53 2017	1502989613	20	273	293	272
Thu Aug 17 12:06:55 2017	1502989615	169	125	294	124
Thu Aug 17 12:06:54 2017	1502989614	19	275	295	161
Thu Aug 17 12:06:53 2017	1502989613	33	261	295	246
Thu Aug 17 12:06:55 2017	1502989615	16	279	295	232
Thu Aug 17 12:06:52 2017	1502989612	37	259	296	220
Thu Aug 17 12:06:52 2017	1502989612	37	259	296	220
Thu Aug 17 12:06:54 2017	1502989614	21	276	297	158
Thu Aug 17 12:06:54 2017	1502989614	22	275	297	161
Thu Aug 17 12:06:53 2017	1502989613	21	277	297	270
Thu Aug 17 12:07:02 2017	1502989622	91	208	298	194
Thu Aug 17 12:07:02 2017	1502989622	91	208	299	194
Thu Aug 17 12:07:02 2017	1502989622	91	208	299	194
Thu Aug 17 12:06:51 2017	1502989611	131	167	299	75
Thu Aug 17 12:07:02 2017	1502989622	91	208	299	190
Thu Aug 17 12:06:51 2017	1502989611	150	149	299	91
Thu Aug 17 12:06:51 2017	1502989611	131	167	299	93
Thu Aug 17 12:06:51 2017	1502989611	150	149	299	138
Thu Aug 17 12:06:51 2017	1502989611	150	149	299	91
Thu Aug 17 12:07:02 2017	1502989622	91	208	299	190
Thu Aug 17 12:06:51 2017	1502989611	150	149	299	91
Thu Aug 17 12:07:02 2017	1502989622	91	208	299	190
Thu Aug 17 12:06:53 2017	1502989613	36	263	299	247
Thu Aug 17 12:06:53 2017	1502989613	36	263	299	247
Thu Aug 17 12:07:02 2017	1502989622	91	210	300	207
Thu Aug 17 12:07:02 2017	1502989622	91	210	300	194
Thu Aug 17 12:07:02 2017	1502989622	91	210	301	190
Thu Aug 17 12:07:02 2017	1502989622	91	210	301	175
Thu Aug 17 12:06:57 2017	1502989617	44	257	301	257
Thu Aug 17 12:06:57 2017	1502989617	44	257	301	253
Thu Aug 17 12:07:02 2017	1502989622	91	212	303	209
Thu Aug 17 12:07:02 2017	1502989622	91	212	303	210
Thu Aug 17 12:07:02 2017	1502989622	91	212	303	210
Thu Aug 17 12:07:02 2017	1502989622	91	212	303	210
Thu Aug 17 12:07:02 2017	1502989622	91	212	303	210
Thu Aug 17 12:07:02 2017	1502989622	34	269	303	203
Thu Aug 17 12:06:53 2017	1502989613	6	297	303	281
Thu Aug 17 12:06:51 2017	1502989611	73	231	303	114
Thu Aug 17 12:06:51 2017	1502989611	73	230	303	114
Thu Aug 17 12:06:53 2017	1502989613	5	298	304	283
Thu Aug 17 12:06:57 2017	1502989617	89	214	304	159
Thu Aug 17 12:06:53 2017	1502989613	34	270	305	263
Thu Aug 17 12:06:55 2017	1502989615	181	125	305	104
Thu Aug 17 12:06:53 2017	1502989613	36	270	306	261
Thu Aug 17 12:06:53 2017	1502989613	22	286	308	286
Thu Aug 17 12:06:53 2017	1502989613	21	287	308	281
Thu Aug 17 12:06:53 2017	1502989613	21	287	308	281
Thu Aug 17 12:06:53 2017	1502989613	21	287	308	276
Thu Aug 17 12:06:53 2017	1502989613	21	287	308	276
Thu Aug 17 12:06:53 2017	1502989613	9	299	308	247
Thu Aug 17 12:06:53 2017	1502989613	21	287	308	276
Thu Aug 17 12:06:53 2017	1502989613	21	287	308	276
Thu Aug 17 12:06:55 2017	1502989615	158	151	309	151
Thu Aug 17 12:06:55 2017	1502989615	158	151	309	151
Thu Aug 17 12:06:55 2017	1502989615	158	151	309	151
Thu Aug 17 12:06:55 2017	1502989615	158	151	309	151
Thu Aug 17 12:06:56 2017	1502989616	34	275	309	275
Thu Aug 17 12:06:55 2017	1502989615	158	151	309	151
Thu Aug 17 12:06:56 2017	1502989616	34	275	309	275
Thu Aug 17 12:06:56 2017	1502989616	34	275	309	260
Thu Aug 17 12:06:57 2017	1502989617	44	266	309	257
